Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16, C17, C18, C19, C2, C20",CL05B104KO5NNNC,7,100n,C1525
"C10, C3, C6, C9",CL21B224KBFNNNE,4,220n,C5378
"C11, C4, C5, C7",CL21A106KAYNNNE,4,10u,C15850
C23,CC0402FRNPO9BN910,1,91p,C541440
C24,GCM1555C1H121FA16D,1,120p,C126496
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J101,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05,
J102,PinHeader_2x20_P2.54mm_Vertical,1,Conn_02x20,
LED1,KT-0603R,1,W0,C2286
LED10,KT-0603R,1,W9,C2286
LED11,KT-0603R,1,W10,C2286
LED12,KT-0603R,1,W11,C2286
LED13,KT-0603R,1,W12,C2286
LED14,KT-0603R,1,W13,C2286
LED15,KT-0603R,1,W14,C2286
LED16,KT-0603R,1,inc_1,C2286
LED17,KT-0603R,1,inc_10,C2286
LED18,KT-0603R,1,inc_100,C2286
LED19,KT-0603R,1,inc_1000,C2286
LED2,KT-0603R,1,W1,C2286
LED20,KT-0603R,1,W15,C2286
LED21,KT-0603R,1,X,C2286
LED22,KT-0603R,1,p1,C2286
LED23,KT-0603R,1,p2,C2286
LED24,KT-0603R,1,amp,C2286
LED25,KT-0603R,1,Sinus,C2286
LED26,KT-0603R,1,Rechteck,C2286
LED27,KT-0603R,1,Dreieck,C2286
LED28,KT-0603R,1,Sägezahn,C2286
LED29,KT-0603R,1,15V,C2286
LED3,KT-0603R,1,W2,C2286
LED30,KT-0603R,1,Mystery,C2286
LED31,KT-0603R,1,-15V,C2286
LED4,KT-0603R,1,W3,C2286
LED5,KT-0603R,1,W4,C2286
LED6,KT-0603R,1,W5,C2286
LED7,KT-0603R,1,W6,C2286
LED8,KT-0603R,1,W7,C2286
LED9,KT-0603R,1,W8,C2286
PS1,TBA20523,1,TBA_2-0523,C6547460
"R1, R2, R3",0603WAF5101T5E,3,5k1,C23186
"R10, R11, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42",RCT03270RJLF,29,270,C177305
R12,P2TC0603D5001LNTA,1,5k,C4095957
"R13, R43",0603WAF1502T5E,2,15k,C22809
"R14, R15, R6, R7, R8, R9",0603WAF1002T5E,6,10k,C25804
R4,0603WAF1802T5E,1,18k,C25810
"R44, R45",0805W8F2001T5E,2,2k,C17604
R5,0603WAF7501T5E,1,7k5,C23234
TP1,Pin_D1.2mm_L11.3mm_W3.0mm_Flat,1,L +,
TP2,Pin_D1.2mm_L11.3mm_W3.0mm_Flat,1,L -,
U1,USB-TYPE-C-008,1,USB-TYPE-C-008,C2927028
U2,TPA6203A1DGNR,1,TPA6203A1DGNR,C202146
U3,DAC0808LCMX_NOPB,1,DAC0808LCMX_NOPB,C132006
"U4, U5, U7",TL081IDR,3,TL081IDR,C2057919
