Designator,Mid X,Mid Y,Rotation,Layer
C1,134.0,-68.579883,270.0,top
C10,181.5,-79.0,90.0,top
C11,184.25,-67.0,90.0,top
C16,181.551053,-74.329883,90.0,top
C17,172.920117,-68.5,0.0,top
C18,165.0,-71.420117,90.0,top
C19,157.0,-73.079883,270.0,top
C2,141.930023,-63.325121,90.0,top
C20,152.833249,-65.5,180.0,top
C23,153.753366,-63.5,180.0,top
C24,154.579883,-73.0,0.0,top
C3,138.728474,-74.5,270.0,top
C4,137.522987,-102.0,270.0,top
C5,140.022987,-102.0,270.0,top
C6,130.5,-76.484506,270.0,top
C7,141.228474,-78.0,0.0,top
C9,133.728474,-74.0,180.0,top
J1,174.0,-83.27,0.0,top
J101,151.13,-111.76,0.0,top
J102,196.85,-95.25,0.0,top
LED1,206.248997,-73.499873,180.0,top
LED10,206.251003,-99.249873,180.0,top
LED11,206.248997,-104.500127,180.0,top
LED12,206.251003,-106.5,180.0,top
LED13,206.242265,-109.499873,180.0,top
LED14,206.248997,-112.000127,180.0,top
LED15,206.251003,-114.499873,180.0,top
LED16,188.0,-96.500127,0.0,top
LED17,188.0,-98.500127,0.0,top
LED18,188.002006,-104.000127,0.0,top
LED19,187.995631,-107.0,0.0,top
LED2,206.248997,-75.999873,180.0,top
LED20,206.248997,-119.499873,180.0,top
LED21,142.251003,-111.500127,0.0,top
LED22,188.0,-109.5,0.0,top
LED23,188.0,-112.0,0.0,top
LED24,188.0,-114.5,0.0,top
LED25,142.257735,-108.999873,0.0,top
LED26,159.751003,-114.0,180.0,top
LED27,142.251003,-114.000127,0.0,top
LED28,159.751003,-111.500127,180.0,top
LED29,176.748997,-91.000127,180.0,top
LED3,206.251003,-79.0,180.0,top
LED30,159.751003,-109.000127,180.0,top
LED31,180.748997,-91.000127,0.0,top
LED4,206.248997,-81.499873,180.0,top
LED5,206.248997,-84.0,180.0,top
LED6,206.248997,-89.000254,180.0,top
LED7,206.248997,-91.5,180.0,top
LED8,206.251003,-94.000127,180.0,top
LED9,206.248997,-96.749873,180.0,top
PS1,171.875,-107.15,90.0,top
R1,137.769621,-99.0,180.0,top
R10,202.244628,-73.499746,0.0,top
R11,202.253366,-76.0,0.0,top
R12,181.75,-70.253366,90.0,top
R13,170.246634,-76.0,180.0,top
R14,160.5,-68.0,0.0,top
R15,164.0,-68.0,0.0,top
R16,202.246634,-79.000127,0.0,top
R17,202.248997,-81.500127,0.0,top
R18,202.246634,-84.000127,0.0,top
R19,202.253366,-89.0,0.0,top
R2,137.769621,-97.0,180.0,top
R20,202.253366,-91.5,0.0,top
R21,202.246634,-94.0,0.0,top
R22,202.246634,-96.75,0.0,top
R23,202.246634,-99.25,0.0,top
R24,202.246634,-104.5,0.0,top
R25,202.246634,-106.500254,0.0,top
R26,202.246634,-109.5,0.0,top
R27,202.246634,-112.0,0.0,top
R28,202.253366,-114.5,0.0,top
R29,191.746634,-96.5,180.0,top
R3,146.930023,-63.65837,90.0,top
R30,191.753366,-98.5,180.0,top
R31,191.746634,-104.0,180.0,top
R32,191.746634,-107.0,180.0,top
R33,202.246634,-119.5,0.0,top
R34,145.746634,-111.5,180.0,top
R35,191.746634,-109.5,180.0,top
R36,191.746634,-112.0,180.0,top
R37,191.746634,-114.5,180.0,top
R38,145.753366,-108.999746,180.0,top
R39,156.246634,-114.0,0.0,top
R4,146.930023,-67.65837,90.0,top
R40,145.746634,-114.0,180.0,top
R41,156.246991,-111.500127,0.0,top
R42,156.255372,-109.0,0.0,top
R43,175.0,-71.246634,90.0,top
R44,172.497994,-91.0,0.0,top
R45,185.497994,-91.0,180.0,top
R5,187.0,-67.496634,270.0,top
R6,133.475108,-78.0,0.0,top
R7,134.228474,-80.746634,270.0,top
R8,139.75,-81.746634,270.0,top
R9,135.975108,-76.0,0.0,top
TP1,133.228474,-85.5,0.0,top
TP2,140.0,-85.5,0.0,top
U1,133.136525,-98.5,270.0,top
U2,137.0,-80.61557,180.0,top
U3,186.75,-74.5,270.0,top
U4,170.0,-71.5,90.0,top
U5,139.5,-67.5,90.0,top
U7,156.253366,-68.0,180.0,top
